climateConceptId;stringRepresentation;incomingConnections (climateConceptIds);outgoingConnections (climateConceptIds);x;y;sourceUrls;sourceOriginalTexts
1898664925;increase_[]_stress_reactions;[1159477310];[];910;-754;[https://s3.amazonaws.com/climatehealth2016/low/ClimateHealth2016_08_Mental_Health_small.pdf];[Very strong evidence from multiple studies shows a consensus that many people exposed to climate- or weather-related natural disasters experience stress reactions and serious psychological harm, which often occur simultaneously.30, 31, 32, 33, 34]
1175437479;increase_['coastal']_development_amount;[];[1749972635, 695535092];44;591;[https://yaleclimateconnections.org/2019/07/how-climate-change-is-making-hurricanes-more-dangerous/];[Assessing the risk from both wind and storm surge, the author of a 2017 paper concludes: “In combination, climate change and coastal development will cause hurricane damage to increase faster than the U.S. economy is expected to grow.]
1608281763;increase_['winter']_heat wave_occurrence;[3064021550];[];1537;598;[https://e360.yale.edu/features/climate-whiplash-wild-swings-in-extreme-weather-are-on-the-rise];[One is warming that leads to a rain-on-snow event, which can cause flooding and flushing of nutrients out of the system, and another is a winter heat wave, such as one that hit New England in February 2017 with 70-degree temperatures.]
3309155279;increase_[]_rain_falling on snow;[244625240];[703301698];922;560;[https://www.npr.org/2020/02/18/803125282/how-warming-winters-are-affecting-everything];[And when warmer winter storms cause rain to fall on top of California's snowpack, it dramatically increases the risk of devastating floods.]
407468100;increase_[]_island_erosion;[3508731, 3791787991];[];848;1005;[https://en.wikipedia.org/wiki/Isle_de_Jean_Charles,_Louisiana];[In the 1940s, companies began offshore oil drilling projects and dredging near the island, activities which contributed to the erosion of the island and its island road.[11]]
2433861945;increase_[]_hurricane_severity;[];[188879353, 3677839411, 305867439];2970;487;[https://s3.amazonaws.com/climatehealth2016/low/ClimateHealth2016_08_Mental_Health_small.pdf];[Though many of these studies describe the mental health impacts of specific historical events, they demonstrate thetypes of mental health issues that will continue to arise as climate change leads to increases in the frequency, severity, and duration of extreme climate- and weather-related events such as floods, hurricanes, droughts, and wildfires.17, 18, 19, 20, 21, 22, 23, 24, 25, 29, 41, 50, 51, 68, 70 Strong support is found in a number of recent studies for the potential for climate change-related psychological effects, including grief/bereavement, increased substance use or misuse, and thoughts of suicide.19, 35, 36, 37, 38, 60\nResearch on individual resilience and recovery shows that a majority of individuals psychologically affected by a traumatic event will recover over time.]
3073149528;increase_[]_dying_occurrence;[2080423682];[];1758;-1553;[http://www.climatesciencewatch.org/2019/06/28/as-climate-change-creates-a-true-public-health-emergency-trump-administration-quashes-federal-climate-program-and-exiles-its-director/];[As summers get hotter and hotter, high school football players are increasingly at risk of succumbing to heat stroke and dying during summer practice – about three players a year, on average.]
3133426751;increase_['respiratory virus']_pandemic_occurrence;[];[2667627907];-271;395;[https://covidclimate.com/];[- U.S. EPA is allowing the sale of dirtier "winter fuel" gasoline during COVID-19, worsening air quality in the midst of a respiratory virus pandemic, which will lead to extra deaths.]
2569829855;increase_['long-term']_climate change_occurrence;[];[2823888342, 2308901447];1777;1042;[https://www.spglobal.com/ratings/en/research/articles/190909-climate-change-can-banks-weather-the-effects-11139468];[Physical risks include the direct financial and operational implications for organizations from natural catastrophes as well as long-term climate change.]
3901942469;increase_['ultraviolet']_radiation_amount;[];[4231560022];463;16;[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4928742/];[Ultraviolet Radiation as a Mediator of Climate Change-Induced Immune Dysfunction]
